test_name,ipc,cycles
sgemm_strong_16c_128,6.231,978957
sgemm_strong_16c_256,6.771,7086967
sgemm_strong_16c_512,6.877,55357327
sgemm_strong_1c_128,0.436,13984212
sgemm_strong_1c_256,0.437,109787357
sgemm_strong_1c_512,0.438,869409672
sgemm_strong_2c_128,0.871,7000531
sgemm_strong_2c_256,0.873,54968697
sgemm_strong_2c_512,0.874,435372380
sgemm_strong_32c_128,7.098,859399
sgemm_strong_32c_256,8.402,5711476
sgemm_strong_32c_512,9.897,38466044
sgemm_strong_4c_128,1.743,3499759
sgemm_strong_4c_256,1.747,27475686
sgemm_strong_4c_512,1.749,217686421
sgemm_strong_64c_128,6.867,888400
sgemm_strong_64c_256,7.284,6588335
sgemm_strong_64c_512,9.346,40732128
sgemm_strong_8c_128,3.472,1756835
sgemm_strong_8c_256,3.491,13744769
sgemm_strong_8c_512,3.5,108769122
vecadd_strong_16c_16384,1.352,76105
vecadd_strong_16c_32768,1.066,192571
vecadd_strong_16c_65536,1.066,384764
vecadd_strong_1c_16384,0.346,295791
vecadd_strong_1c_32768,0.325,630337
vecadd_strong_1c_65536,0.325,1260417
vecadd_strong_2c_16384,0.688,148828
vecadd_strong_2c_32768,0.604,339148
vecadd_strong_2c_65536,0.604,678028
vecadd_strong_32c_16384,1.331,77733
vecadd_strong_32c_32768,1.093,188274
vecadd_strong_32c_65536,1.092,376182
vecadd_strong_4c_16384,1.192,86016
vecadd_strong_4c_32768,0.953,215140
vecadd_strong_4c_65536,0.953,430031
vecadd_strong_64c_16384,1.406,74291
vecadd_strong_64c_32768,1.208,171161
vecadd_strong_64c_65536,1.217,338324
vecadd_strong_8c_16384,1.253,81959
vecadd_strong_8c_32768,1.007,203660
vecadd_strong_8c_65536,1.005,407856
